date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:32:30	57837/57837	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-e1ed%22	http://www.urbanui.com/chroma/pages/layout/sidebar-hidden.html	www.urbanui.com/chroma/pages/layout/sidebar-hidden.html	(from http://www.urbanui.com/chroma/)
04:32:30	57672/57672	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-e148%22	http://www.urbanui.com/chroma/pages/widgets.html	www.urbanui.com/chroma/pages/widgets.html	(from http://www.urbanui.com/chroma/)
04:32:31	57831/57831	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-e1e7%22	http://www.urbanui.com/chroma/pages/layout/sidebar-hidden-overlay.html	www.urbanui.com/chroma/pages/layout/sidebar-hidden-overlay.html	(from http://www.urbanui.com/chroma/)
04:32:31	57813/57813	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-e1d5%22	http://www.urbanui.com/chroma/pages/layout/sidebar-fixed.html	www.urbanui.com/chroma/pages/layout/sidebar-fixed.html	(from http://www.urbanui.com/chroma/)
04:32:31	62517/62517	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-f435%22	http://www.urbanui.com/chroma/pages/ui-features/accordions.html	www.urbanui.com/chroma/pages/ui-features/accordions.html	(from http://www.urbanui.com/chroma/)
04:32:32	60124/60124	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-eadc%22	http://www.urbanui.com/chroma/pages/ui-features/buttons.html	www.urbanui.com/chroma/pages/ui-features/buttons.html	(from http://www.urbanui.com/chroma/)
04:32:32	47409/47409	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-b931%22	http://www.urbanui.com/chroma/pages/ui-features/badges.html	www.urbanui.com/chroma/pages/ui-features/badges.html	(from http://www.urbanui.com/chroma/)
04:32:32	47586/47586	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-b9e2%22	http://www.urbanui.com/chroma/pages/ui-features/breadcrumbs.html	www.urbanui.com/chroma/pages/ui-features/breadcrumbs.html	(from http://www.urbanui.com/chroma/)
04:32:33	71620/71620	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-117c4%22	http://www.urbanui.com/chroma/pages/ui-features/dropdowns.html	www.urbanui.com/chroma/pages/ui-features/dropdowns.html	(from http://www.urbanui.com/chroma/)
04:32:33	47602/47602	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-b9f2%22	http://www.urbanui.com/chroma/pages/ui-features/modals.html	www.urbanui.com/chroma/pages/ui-features/modals.html	(from http://www.urbanui.com/chroma/)
04:32:34	45491/45491	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-b1b3%22	http://www.urbanui.com/chroma/pages/ui-features/pagination.html	www.urbanui.com/chroma/pages/ui-features/pagination.html	(from http://www.urbanui.com/chroma/)
04:32:34	58914/58914	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-e622%22	http://www.urbanui.com/chroma/pages/ui-features/tabs.html	www.urbanui.com/chroma/pages/ui-features/tabs.html	(from http://www.urbanui.com/chroma/)
04:32:34	55921/55921	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-da71%22	http://www.urbanui.com/chroma/pages/ui-features/typography.html	www.urbanui.com/chroma/pages/ui-features/typography.html	(from http://www.urbanui.com/chroma/)
04:32:35	49992/49992	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-c348%22	http://www.urbanui.com/chroma/pages/ui-features/progress.html	www.urbanui.com/chroma/pages/ui-features/progress.html	(from http://www.urbanui.com/chroma/)
04:32:35	55197/55197	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-d79d%22	http://www.urbanui.com/chroma/pages/ui-features/dragula.html	www.urbanui.com/chroma/pages/ui-features/dragula.html	(from http://www.urbanui.com/chroma/)
04:32:35	39711/39711	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-9b1f%22	http://www.urbanui.com/chroma/pages/ui-features/clipboard.html	www.urbanui.com/chroma/pages/ui-features/clipboard.html	(from http://www.urbanui.com/chroma/)
04:32:37	43972/43972	---MCZ	200	added ('OK')	text/html	etag:W/%225b4754ea-abc4%22	http://www.urbanui.com/chroma/pages/ui-features/tooltips.html	www.urbanui.com/chroma/pages/ui-features/tooltips.html	(from http://www.urbanui.com/chroma/)
